Name,Category,Max Winds (kt),Adjusted Costs,City,County,State,Year -1,Year,Year +1,Year +2,Year +3,Annual Change (%) -1,Annual Change (%),Annual Change (%) +1,Annual Change (%) +2,Annual Change (%) +3,HPI -1,HPI,HPI +2,HPI +3
Alicia,3,100,$9.4B,hitchcock,Galveston,TX,1982,1983,1984,1985,1986,-2.03,2.17,1.64,-4.40,-1.16,161.13,164.63,159.99,158.13
Elena,3,100,$3.8B,long beach,Harrison,MS,1984,1985,1986,1987,1988,4.57,7.97,3.03,-5.08,-0.86,177.04,191.15,186.93,185.32
Hugo,4,120,$22.7B,mount pleasant,Charleston,SC,1988,1989,1990,1991,1992,5.89,4.13,4.00,2.84,2.40,263.90,274.79,293.90,300.97
Andrew,5,145,$60.2B,lakes by the bay,Miami-Dade,FL,1991,1992,1993,1994,1995,2.09,2.86,6.14,4.36,4.63,239.18,246.02,272.52,285.14
Opal,3,100,$9.6B,gulf breeze,Escambia,FL,1994,1995,1996,1997,1998,3.43,4.78,5.35,5.62,3.30,203.44,213.16,237.17,245.00
Fran,3,100,$10.0B,long beach,Brunswick,NC,1995,1996,1997,1998,1999,8.11,5.59,8.86,7.20,6.14,192.77,203.54,237.51,252.09
Georges,2,90,$11.5B,key west,Monroe,FL,1997,1998,1999,2000,2001,6.20,7.37,5.86,14.89,11.29,292.04,313.55,381.35,424.39
Georges,2,90,$11.5B,biloxi,Harrison,MS,1997,1998,1999,2000,2001,4.08,5.31,5.74,5.58,4.21,243.21,256.11,285.95,297.98
Floyd,2,90,$12.1B,long beach,Brunswick,NC,1998,1999,2000,2001,2002,7.20,6.14,8.12,5.06,3.59,237.51,252.09,286.34,296.63
Isabel,2,90,$9.3B,morehead city,Carteret,NC,2002,2003,2004,2005,2006,3.61,4.73,8.95,22.29,17.93,205.27,214.98,286.44,337.79
Ivan,3,105,$34.0B,gulf shores,Baldwin,AL,2003,2004,2005,2006,2007,3.48,4.95,17.21,17.29,1.77,263.45,276.50,380.11,386.83
Charley,4,130,$26.6B,sanibel,Lee,FL,2003,2004,2005,2006,2007,9.54,16.73,35.94,16.68,-11.15,351.36,410.13,650.55,578.05
Charley,4,125,$26.6B,punta gorda isles,Charlotte,FL,2003,2004,2005,2006,2007,10.68,19.14,31.80,8.83,-11.74,286.10,340.87,488.96,431.57
Charley,4,70,$26.6B,georgetown,Charleston,SC,2003,2004,2005,2006,2007,3.31,9.61,18.86,14.91,2.43,555.91,609.35,832.27,852.49
Charley,4,65,$26.6B,north myrtle beach,Horry,SC,2003,2004,2005,2006,2007,2.48,6.99,16.33,18.59,5.16,321.10,343.53,473.95,498.38
Frances,2,90,$16.3B,stuart,Martin,FL,2003,2004,2005,2006,2007,12.61,21.66,29.86,10.37,-9.58,381.41,464.03,665.06,601.36
Jeanne,3,105,$12.4B,stuart,Martin,FL,2003,2004,2005,2006,2007,12.61,21.66,29.86,10.37,-9.58,381.41,464.03,665.06,601.36
Katrina,3,70,$200.0B,hollywood,Broward,FL,2004,2005,2006,2007,2008,18.53,29.31,17.79,-3.87,-20.74,393.89,509.36,576.77,457.18
Katrina,3,110,$200.0B,belle chasse,Plaquemines,LA,2004,2005,2006,2007,2008,4.85,7.50,8.80,3.12,0.01,173.08,186.06,208.76,208.79
Wilma,3,105,$30.0B,marco island,Collier,FL,2004,2005,2006,2007,2008,17.40,37.10,21.22,-8.59,-25.71,656.61,900.24,997.46,740.99
Rita,3,100,$29.2B,port arthur,Cameron,LA,2004,2005,2006,2007,2008,6.12,0.00,17.58,-0.10,12.28,123.67,123.67,145.28,163.11
Dennis,3,105,$4.0B,gulf breeze,Santa Rosa,FL,2004,2005,2006,2007,2008,13.06,31.58,7.61,-5.81,-7.32,305.29,401.69,407.17,377.36
Ike,2,95,$43.2B,galveston,Galveston,TX,2007,2008,2009,2010,2011,2.08,-0.81,0.45,-3.08,-1.48,305.08,302.61,294.63,290.26
Gustav,2,90,$8.6B,houma,Terrebonne,LA,2007,2008,2009,2010,2011,8.64,4.42,0.82,-0.77,-0.95,311.81,325.59,325.73,322.65
Irene,1,75,$18.8B,morehead city,Carteret,NC,2010,2011,2012,2013,2014,-6.57,-5.33,-2.22,-2.85,-0.65,313.63,296.90,282.03,280.18
Isaac,1,70,$3.8B,galliano,Plaquemines,LA,2011,2012,2013,2014,2015,-3.35,2.21,1.58,1.58,-1.30,196.70,201.05,207.45,204.75
Isaac,1,70,$3.8B,galliano,Lafourche,LA,2011,2012,2013,2014,2015,-0.32,-0.28,1.63,1.88,2.49,246.66,245.98,254.70,261.05
Matthew,1,85,$13.0B,mount pleasant,Charleston,SC,2015,2016,2017,2018,2019,8.71,8.61,8.94,5.59,3.94,823.86,894.83,1029.34,1069.90
Harvey,4,115,$160.0B,rockport,Aransas,TX,2016,2017,2018,2019,2020,6.07,0.94,6.03,9.12,4.89,329.14,332.22,384.38,403.16
Irma,4,115,$64.0B,key west,Monroe,FL,2016,2017,2018,2019,2020,12.35,4.12,5.40,6.40,3.44,805.36,838.55,940.45,972.77
Irma,4,100,$64.0B,marco island,Collier,FL,2016,2017,2018,2019,2020,9.75,4.34,5.92,3.51,4.00,799.86,834.56,914.99,951.55
Michael,5,140,$31.0B,callaway,Bay,FL,2017,2018,2019,2020,2021,3.80,10.55,8.19,6.09,11.43,543.54,600.88,689.66,768.46
Florence,1,80,$30.0B,masonboro,New Hanover,NC,2017,2018,2019,2020,2021,7.07,6.04,6.50,5.48,12.45,574.41,609.12,684.26,769.44
Laura,4,130,$28.1B,prien,Cameron,LA,2019,2020,2021,2022,2023,3.01,2.27,7.74,4.40,.,199.55,204.07,229.54,.
Sally,2,95,$8.8B,gulf shores,Baldwin,AL,2019,2020,2021,2022,2023,6.89,4.25,13.40,17.25,11.76,401.05,418.09,555.87,621.25
Isaias,1,80,$5.8B,little river,Brunswick,NC,2019,2020,2021,2022,2023,7.79,5.89,15.13,25.15,10.14,481.70,510.06,734.93,809.48
Zeta,2,100,$5.3B,galliano,Terrebonne,LA,2019,2020,2021,2022,2023,1.94,2.09,2.90,9.66,3.01,355.33,362.75,409.33,421.67
Delta,2,85,$3.5B,prien,Cameron,LA,2019,2020,2021,2022,2023,3.01,2.27,7.74,4.40,.,199.55,204.07,229.54,.
Ida,4,130,$84.6B,galliano,Lafourche,LA,2020,2021,2022,2023,2001,0.49,3.19,10.41,1.96,.,276.09,284.89,320.74,100.00
Ian,4,130,$118.5B,rotonda west,Lee,FL,2021,2022,2023,1975,1976,18.95,29.92,6.93,.,14.04,663.27,861.71,100.00,114.04
Ian,4,110,$118.5B,key west,Monroe,FL,2021,2022,2023,1984,1985,14.41,24.84,9.45,.,17.68,1112.91,1389.38,100.00,117.68
Ian,4,130,$118.5B,rotonda west,Lee,FL,2021,2022,2023,1975,1976,18.95,29.92,6.93,.,14.04,663.27,861.71,100.00,114.04
Ian,4,125,$118.5B,punta gorda,Charlotte,FL,2021,2022,2023,1978,1979,19.84,30.83,7.47,.,18.04,535.96,701.21,100.00,118.04
Ian,4,70,$118.5B,georgetown,Georgetown,SC,2021,2022,2023,1975,1976,10.47,19.17,13.24,.,-0.13,305.92,364.57,100.00,99.87
Idalia,3,100,$3.6B,perry,Taylor,FL,2022,2023,2006,2007,2008,16.44,6.01,.,-2.91,1.11,294.14,311.82,97.09,98.16
