Name,Season,Category,Adjusted Costs
Frederic,1979,3,$7.4B
Alicia,1983,3,$9.4B
Juan,1985,1,$4.3B
Elena,1985,3,$3.8B
Hugo,1989,4,$22.7B
Bob,1991,2,$3.5B
Andrew,1992,5,$60.2B
Iniki,1992,4,$6.9B
Opal,1995,3,$9.6B
Marilyn,1995,2,$4.3B
Fran,1996,3,$10.0B
Georges,1998,2,$11.5B
Floyd,1999,2,$12.1B
Allison,2001,0,$15.1B
Isabel,2003,2,$9.3B
Ivan,2004,3,$34.0B
Charley,2004,4,$26.6B
Frances,2004,2,$16.3B
Jeanne,2004,3,$12.4B
Katrina,2005,3,$200.0B
Wilma,2005,3,$30.0B
Rita,2005,3,$29.2B
Dennis,2005,3,$4.0B
Ike,2008,2,$43.2B
Gustav,2008,2,$8.6B
Irene,2011,1,$18.8B
Lee,2011,0,$3.5B
Sandy,2012,1,$88.5B
Isaac,2012,1,$3.8B
Matthew,2016,1,$13.0B
Harvey,2017,4,$160.0B
Maria,2017,4,$115.2B
Irma,2017,4,$64.0B
Michael,2018,5,$31.0B
Florence,2018,1,$30.0B
Imelda,2019,0,$6.2B
Laura,2020,4,$28.1B
Sally,2020,2,$8.8B
Isaias,2020,1,$5.8B
Zeta,2020,2,$5.3B
Delta,2020,2,$3.5B
Ida,2021,4,$84.6B
Ian,2022,4,$118.5B
Idalia,2023,3,$3.6B
Beryl,2024,1,$6.0B